Location,Country,Disease,Species,HM Alert ID,Headline,URL,Issue Date,Tag ,Long,Lat
"Michigan, United States",United States,Measles,Humans,6395991,Health officials urge vaccination to prevent measles - Thecountypress,https://thecountypress.mihomepaper.com/articles/health-officials-urge-vaccination-to-prevent-measles/,3/31/19 4:41,Breaking,-84.462898,43.580299
"San Francisco, California, United States",United States,Measles,Humans,6395804,547 Measles Cases Reported by 18 States - PrecisionVaccinations,https://www.precisionvaccinations.com/new-york-counties-have-reported-381-measles-cases-during-2019,3/30/19 13:23,Breaking,-122.418404,37.775002
"New York State, United States",United States,Measles,Humans,6395749,Israel Visitors Brought Measles to New York in 2018 - PrecisionVaccinations,https://www.precisionvaccinations.com/ny-reported-336-cases-nyc-and-rockland-counties-during-measles-outbreak,3/27/19 19:10,Context,-75.4981,43.004601
"Missouri, United States",United States,Measles,Humans,6394919,Measles cases on are on the rise. Missouri is no exception. - Columbia Missourian,https://www.columbiamissourian.com/news/state_news/measles-cases-on-are-on-the-rise-missouri-is-no/article_b3f224ca-4481-11e9-9e7a-0355db81b658.html,3/30/19 7:00,Breaking,-92.504898,38.238098
United States,United States,Measles,Humans,6394283,"Measles outbreak: Ed Day hits 'third rails,' draws national attention with emergency declaration - The Journal News | LoHud.com",https://www.lohud.com/story/news/local/rockland/2019/03/29/measles-oubreak-rockland-ed-day-emergency-declaration-reaction/3297843002/,3/29/19 17:23,Breaking,-97.556099,39.96693
"Chicago, Illinois, United States",United States,Measles,Humans,6394007,"Northbrook, Glenview officials respond to case of measles reported in northern suburbs - Chicago Tribune",https://www.chicagotribune.com/suburbs/glenview/news/ct-gla-measles-contact-tl-0404-story.html,3/29/19 12:35,Breaking,-87.650101,41.849998
"New York State, United States",United States,Measles,Humans,6393799,Measles outbreak highlights vaccination debate - CNBC,https://www.cnbc.com/video/2019/03/29/measles-outbreak-highlights-vaccination-debate.html,3/29/19 14:16,Context,-75.4981,43.004601
"New York State, United States",United States,Measles,Humans,6393187,"In NY, a drastic response to a measles outbreak tests trust in government - STAT",https://www.statnews.com/2019/03/29/measles-outbreak-rockland-county-response/,3/29/19 4:33,Breaking,-75.4981,43.004601
"New York City, New York State, United States",United States,Measles,Humans,6392525,Measles Outbreak Grows to 214 Cases in New York City - Wall Street Journal,https://www.wsj.com/articles/measles-outbreak-grows-to-214-cases-in-new-york-city-11553803004,3/28/19 16:56,Breaking,-74.003998,40.713902
"Indiana, United States",United States,Measles,Humans,6392374,"Possible measles exposure at Indianapolis hotel and restaurant, health officials say - Indianapolis Star",https://www.indystar.com/story/news/2019/03/27/possible-measles-exposure-indianapolis-hotel-restaurant-health-officials-say/3293133002/,3/27/19 18:41,Breaking,-86.264702,40.0107
"Washington State, United States",United States,Measles,Humans,6392373,MAILBAG: Moster Uses Rockland Measles Outbreak to Smear Yeshivas - Yeshiva World News,https://www.theyeshivaworld.com/news/mailbag/1702485/mailbag-moster-uses-rockland-measles-outbreak-to-smear-yeshivas.html,3/27/19 17:00,Breaking,-120.4981,47.487499
"New York State, United States",United States,Measles,Humans,6392373,MAILBAG: Moster Uses Rockland Measles Outbreak to Smear Yeshivas - Yeshiva World News,https://www.theyeshivaworld.com/news/mailbag/1702485/mailbag-moster-uses-rockland-measles-outbreak-to-smear-yeshivas.html,3/27/19 17:00,Breaking,-75.4981,43.004601
"Michigan, United States",United States,Measles,Humans,6392134,Measles Outbreak Upsetting Many Families' Routines - The Jewish News,https://thejewishnews.com/2019/03/28/measles-outbreak-upsetting-many-families-routines/,3/28/19 12:11,Breaking,-84.462898,43.580299
United States,United States,Measles,Humans,6392114,Avoyelles coroner urges parents to immunize children - Avoyelles Today,https://www.avoyellestoday.com/news/avoyelles-coroner-urges-parents-immunize-children,3/28/19 6:00,Breaking,-97.556099,39.96693
United States,United States,Measles,Humans,6390316,PRO/EDR> Measles update (21),http://promedmail.org/direct.php?id=20190328.6390316,3/28/19 20:27,No Tag,-97.556099,39.96693
"California, United States",United States,Measles,Humans,6391873,Measles outbreak: Potential exposure locations in the North State - Action News Now,https://www.actionnewsnow.com/content/news/Measles-outbreak-Potential-exposure-locations-in-the-North-State-507800991.html,3/28/19 17:59,Breaking,-119.750298,37.250198
"Arizona, United States",United States,Measles,Humans,6391823,N4T Investigators: Monitoring Measles - KVOA Tucson News,https://kvoa.com/news/n4t-investigators/2019/03/27/n4t-investigators-monitoring-measles/,3/28/19 1:15,Breaking,-111.500298,34.500198
"Pennsylvania, United States",United States,Measles,Humans,6391776,Pittsburgh Shielded From Measles Outbreak Thanks To High Vaccination Rate - NewsRadio 1020 KDKA,https://kdkaradio.radio.com/articles/pittsburgh-shielded-measles-outbreak-thanks-high-vaccination-rate,3/28/19 13:00,Breaking,-77.475601,40.930099
United States,United States,Measles,Humans,6391696,"Anti-vaxxers open door for measles, mumps, other old-time diseases back from near extinction - USA TODAY",https://www.usatoday.com/story/news/health/2019/03/28/anti-vaxxers-open-door-measles-mumps-old-time-diseases/3295390002/,3/28/19 7:08,Breaking,-97.556099,39.96693
"Sacramento, California, United States",United States,Measles,Humans,6391641,Measles case confirmed at UC Davis Medical Center - KCRA Sacramento,https://www.kcra.com/article/measles-case-sacramento-county/26966048,3/27/19 17:26,Breaking,-121.493401,38.5816
"Texas, United States",United States,Measles,Humans,6391612,Texas Measles Cases Spike For 2019 - Red River Radio,https://www.redriverradio.org/post/texas-measles-cases-spike-2019,3/27/19 11:08,Breaking,-99.2286,31.2409
"San Francisco, California, United States",United States,Measles,Humans,6389412,Infected traveler may have exposed Santa Clara Co. residents to measles - KRON4,https://www.kron4.com/news/bay-area/measles-case-confirmed-in-county-of-santa-clara/1878697305,3/26/19 15:38,Breaking,-122.418404,37.775002
"California, United States",United States,Measles,Humans,6388840,California May Toughen Immunization Rules in Response to Measles Outbreak - KTLA Los Angeles,https://ktla.com/2019/03/26/california-may-toughen-immunization-rules-in-response-to-measles-outbreak/,3/26/19 18:39,Context,-119.750298,37.250198
United States,United States,Measles,Humans,6388833,"County Bans Unvaccinated Minors from Entering Public Spaces, a First in the U.S. - Gizmodo",https://gizmodo.com/county-bans-unvaccinated-minors-banned-from-entering-pu-1833586903,3/26/19 17:30,Breaking,-97.556099,39.96693
"Michigan, United States",United States,Measles,Humans,6388756,"Measles Outbreak Climbs To 22, Spreads To Wayne County | WWJ Newsradio 950 - WWJ Newsradio 950",https://wwjnewsradio.radio.com/articles/measles-outbreak-climbs-22-spreads-wayne-county,3/26/19 18:38,Breaking,-84.462898,43.580299
"San Francisco, California, United States",United States,Measles,Humans,6388756,"Measles Outbreak Climbs To 22, Spreads To Wayne County | WWJ Newsradio 950 - WWJ Newsradio 950",https://wwjnewsradio.radio.com/articles/measles-outbreak-climbs-22-spreads-wayne-county,3/26/19 18:38,Breaking,-122.418404,37.775002
"Michigan, United States",United States,Measles,Humans,6388582,"NEWS SCAN: Limits of rapid #diagnostics; #Measles in Michigan, NY; More #Lassa in Nigeria https://t.co/ZF4KROtQ5V #AntibioticStewardship",https://twitter.com/CIDRAP/statuses/1110636834844037121,3/26/19 16:17,Breaking,-84.462898,43.580299
"San Francisco, California, United States",United States,Measles,Humans,6388255,Measles vaccination: A matter of confidence and commitment - PLoS Blogs,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002770,3/26/19 13:45,Breaking,-122.418404,37.775002
"New York State, United States",United States,Measles,Humans,6388247,"New York Suburb to Declare Measles Emergency, Barring Unvaccinated Children From Public - The New York Times",https://www.nytimes.com/2019/03/26/nyregion/measles-rockland-county.html,3/26/19 12:21,Breaking,-75.4981,43.004601
"Michigan, United States",United States,Measles,Humans,6387705,Measles in Michigan: What you need to know about vaccines and prevention - Lansing State Journal,https://www.lansingstatejournal.com/story/news/local/2019/03/26/measles-outbreak-michigan-how-to-get-vaccine-vaccination/3266531002/,3/26/19 7:05,Context,-84.462898,43.580299
"California, United States",United States,Measles,Humans,6387466,Officials investigate measles cases across 3 NorCal counties - KCRA Sacramento,https://www.kcra.com/article/officials-investigate-measles-cases-across-3-norcal-counties/26937481,3/25/19 19:50,Breaking,-119.750298,37.250198
"Michigan, United States",United States,Measles,Humans,6387400,Local schools diligent in hygiene policies amid measles outbreak concerns - Fox 2 Detroit,http://www.fox2detroit.com/news/local-news/local-schools-diligent-in-hygiene-policies-amid-measles-outbreak-concerns,3/25/19 17:24,Breaking,-84.462898,43.580299
"Maryland, United States",United States,Measles,Humans,6386520,"Measles, mumps, rubella ... oh, my! | Opinion - New Baltimore Voice Newspapers",http://www.voicenews.com/opinion/measles-mumps-rubella-oh-my/article_c520e108-4f37-11e9-b383-7f05c78d4104.html,3/25/19 15:54,Breaking,-76.376999,38.9594
United States,United States,Measles,Humans,6386401,"15 states reporting cases of measles, outbreak now second-highest since 2014 - WZTV",https://fox17.com/news/local/15-states-reporting-cases-of-measles-outbreak-now-second-highest-since-2014,3/25/19 13:55,Breaking,-97.556099,39.96693
"Oregon, United States",United States,Measles,Humans,6385951,GoFundMe Joins Social Media Peers In Cracking Down On Antivaccination Movement - Kaiser Health News,https://khn.org/morning-breakout/gofundme-joins-social-media-peers-in-cracking-down-on-antivaccination-movement/,3/25/19 8:39,Breaking,-120.4981,43.992802
"Michigan, United States",United States,Measles,Humans,6385951,GoFundMe Joins Social Media Peers In Cracking Down On Antivaccination Movement - Kaiser Health News,https://khn.org/morning-breakout/gofundme-joins-social-media-peers-in-cracking-down-on-antivaccination-movement/,3/25/19 8:39,Breaking,-84.462898,43.580299
"Minnesota, United States",United States,Measles,Humans,6385951,GoFundMe Joins Social Media Peers In Cracking Down On Antivaccination Movement - Kaiser Health News,https://khn.org/morning-breakout/gofundme-joins-social-media-peers-in-cracking-down-on-antivaccination-movement/,3/25/19 8:39,Breaking,-94.658302,46.225399
"Washington, DC, United States",United States,Measles,Humans,6385951,GoFundMe Joins Social Media Peers In Cracking Down On Antivaccination Movement - Kaiser Health News,https://khn.org/morning-breakout/gofundme-joins-social-media-peers-in-cracking-down-on-antivaccination-movement/,3/25/19 8:39,Breaking,-77.036697,38.895
"Texas, United States",United States,Measles,Humans,6384433,3-23 Digital Dialogue: Increasing smoking age; Measles warning | Opinion - Cleburne Times-Review,https://www.cleburnetimesreview.com/opinion/digital-dialogue-increasing-smoking-age-measles-warning/article_247b205c-4cde-11e9-9c00-4f9f9498439b.html,3/24/19 11:30,Breaking,-99.2286,31.2409
United States,United States,Measles,Humans,6384430,Plain Talk: No two sides to the value of vaccinations - Madison.com,https://madison.com/ct/opinion/column/dave_zweifel/plain-talk-no-two-sides-to-the-value-of-vaccinations/article_cf7f2c1c-dc8c-5bb1-9bcf-a9d4417b2f81.html,3/24/19 9:00,Breaking,-97.556099,39.96693
"Washington State, United States",United States,Measles,Humans,6384346,Public health mobilized to head off measles outbreak - Bend Bulletin,http://www.bendbulletin.com/localstate/7031422-151/public-health-mobilized-to-head-off-measles-outbreak,3/23/19 20:01,Breaking,-120.4981,47.487499
"Oregon, United States",United States,Measles,Humans,6384346,Public health mobilized to head off measles outbreak - Bend Bulletin,http://www.bendbulletin.com/localstate/7031422-151/public-health-mobilized-to-head-off-measles-outbreak,3/23/19 20:01,Breaking,-120.4981,43.992802
"Georgia, United States",United States,Measles,Humans,6383607,Kirby: Measles no longer part of childhood - The Augusta Chronicle,https://www.augustachronicle.com/news/20190323/kirby-measles-no-longer-part-of-childhood,3/23/19 19:02,Breaking,-83.496101,32.7318
"Wisconsin, United States",United States,Measles,Humans,6382915,"John Andersen: To vaccinate, or not to vaccinate ... it really shouldn't be a question - Chippewa Herald",https://chippewa.com/opinion/columnists/john-andersen-to-vaccinate-or-not-to-vaccinate-it-really/article_2ed3498a-4c9c-54d9-8ca6-a0fd5adca84f.html,3/22/19 17:00,Breaking,-90,44.496498
"San Francisco, California, United States",United States,Measles,Humans,6382199,"Two new measles cases tied to Marion County outbreak, bringing total to four - Statesman Journal",https://www.statesmanjournal.com/story/news/2019/03/22/two-new-measles-cases-tied-marion-county-salem-outbreak/3251160002/,3/22/19 19:00,Breaking,-122.418404,37.775002
United States,United States,Measles,Humans,6382195,Measles: Low Vaccination Rates Leaving Communities Unprotected - Pharmacy Times,https://www.pharmacytimes.com/contributor/kimberly-mckeirnan-pharmd/2019/03/measles-low-vaccination-rates-leaving-communities-unprotected,3/22/19 13:23,Breaking,-97.556099,39.96693
"New Jersey, United States",United States,Measles,Humans,6380796,NJ health officials warn of additional public exposure to measles in Ocean County - Asbury Park Press,https://www.app.com/story/news/local/public-safety/2019/03/21/nj-health-officials-warn-additional-public-exposure-measles-ocean-county/3240014002/,3/21/19 20:19,Breaking,-74.355499,40.178799
"New York State, United States",United States,Measles,Humans,6380746,You might need to get a new measles vaccine - STLtoday.com,https://www.stltoday.com/lifestyles/health-med-fit/health/to-your-good-health/you-might-need-to-get-a-new-measles-vaccine/article_e46069e5-ec14-5398-8dc8-0b570a151d17.html,3/22/19 1:00,Breaking,-75.4981,43.004601
"New Jersey, United States",United States,Measles,Humans,6380746,You might need to get a new measles vaccine - STLtoday.com,https://www.stltoday.com/lifestyles/health-med-fit/health/to-your-good-health/you-might-need-to-get-a-new-measles-vaccine/article_e46069e5-ec14-5398-8dc8-0b570a151d17.html,3/22/19 1:00,Breaking,-74.355499,40.178799
"Texas, United States",United States,Measles,Humans,6380456,Toussaint column: Inoculated against anti-vaxxers by the school of hard knocks - Glenwood Springs Post Independent,https://www.postindependent.com/opinion/columns/toussaint-column-inoculated-against-anti-vaxxers-by-the-school-of-hard-knocks/,3/21/19 22:56,Breaking,-99.2286,31.2409
"Michigan, United States",United States,Measles,Humans,6379920,Measles Scare in Metro Detroit - The Jewish News,https://thejewishnews.com/2019/03/21/measles-scare-in-metro-detroit/,3/21/19 16:43,Breaking,-84.462898,43.580299
"Oklahoma, United States",United States,Measles,Humans,6379820,"Delaying vaccines for children is risky, doctors say - KGO-TV",https://abc7news.com/delaying-vaccines-for-children-is-risky-doctors-say-/5210338/,3/21/19 14:32,Breaking,-97.514702,35.496399
United States,United States,Measles,Humans,6379069,Opting Out of Vaccines Should Opt You Out of American Society - Scientific American,https://blogs.scientificamerican.com/observations/opting-out-of-vaccines-should-opt-you-out-of-american-society/,3/21/19 7:00,Context,-97.556099,39.96693
"Los Angeles, California, United States",United States,Measles,Humans,6378477,Officials Again Warn of Measles Exposure at LAX After 2nd Case Confirmed at Airport - KTLA Los Angeles,https://ktla.com/2019/03/20/officials-again-warn-of-measles-exposure-at-lax-after-2nd-case-confirmed-at-airport/,3/21/19 0:06,Warning,-118.242798,34.0522
"Texas, United States",United States,Measles,Humans,6378276,Second confirmed case of measles identified in Collin County - Community Impact Newspaper,https://communityimpact.com/dallas-fort-worth/mckinney/healthcare/2019/03/19/second-confirmed-case-of-measles-identified-in-collin-county/,3/19/19 11:16,Breaking,-99.2286,31.2409
"Collin County, Texas, United States",United States,Measles,Humans,6378276,Second confirmed case of measles identified in Collin County - Community Impact Newspaper,https://communityimpact.com/dallas-fort-worth/mckinney/healthcare/2019/03/19/second-confirmed-case-of-measles-identified-in-collin-county/,3/19/19 11:16,Breaking,-96.566933,33.200115
"California, United States",United States,Measles,Humans,6378171,"Measles Outbreak -- California, March 2018 - Medscape",https://www.medscape.com/viewarticle/909756,3/20/19 0:22,Context,-119.750298,37.250198
"Ohio, United States",United States,Measles,Humans,6377953,Cincinnati vaccination rate 'very good' despite recent outbreaks - WKRC TV Cincinnati,http://local12.com/health/health-updates/cincinnati-vaccination-rate-very-good-despite-recent-outbreaks,3/20/19 18:29,Context,-83.012703,40.245899
"New Mexico, United States",United States,Measles,Humans,6377331,Ill immigrants bring dangerous complications that can spread far beyond NM - Albuquerque Journal,https://www.abqjournal.com/1293610/ill-immigrants-bring-dangerous-complications-that-can-spread-far-beyond-nm-ex-a-significant-number-of-asylum-seekers-are-carrying-diseases-that-threaten-the-us-inoculated-herd.html,3/19/19 2:05,Context,-105.996101,34.4884
"Oklahoma, United States",United States,Measles,Humans,6376946,Does It Make Sense To Delay Children’s Vaccines? - Kaiser Health News,https://khn.org/news/does-it-make-sense-to-delay-childrens-vaccines/,3/20/19 5:00,Breaking,-97.514702,35.496399
"Chicago, Illinois, United States",United States,Measles,Humans,6376920,CHAPMAN: Rand Paul's weak case against mandatory vaccines - Odessa American,https://www.oaoa.com/editorial/columns/article_3f2ec8fe-4aa9-11e9-830e-b7f52b91d7da.html,3/19/19 10:00,Breaking,-87.650101,41.849998
"Salem, Oregon, United States",United States,Measles,Humans,6375963,Oregon Health Authority confirms second measles case in Salem - Statesman Journal,https://www.statesmanjournal.com/story/news/crime/2019/03/19/second-measles-case-salem-oregon-health-authority-confirms/3218310002/,3/19/19 22:12,Breaking,-123.035103,44.942902
"New York City, New York State, United States",United States,Measles,Humans,6375948,NYC measles: 23 additional cases reported in Brooklyn neighborhoods - Outbreak News Today,http://outbreaknewstoday.com/nyc-measles-23-additional-cases-reported-brooklyn-neighborhoods/,3/19/19 20:17,Breaking,-74.003998,40.713902
"Arkansas, United States",United States,Measles,Humans,6375848,How a Measles Quarantine Can Lead to Eviction - The Atlantic,https://www.theatlantic.com/health/archive/2019/03/measles-outbreaks-cost-workers-without-paid-sick-leave/585178/,3/19/19 7:00,Context,-92.504898,34.7416
"Missouri, United States",United States,Measles,Humans,6375848,How a Measles Quarantine Can Lead to Eviction - The Atlantic,https://www.theatlantic.com/health/archive/2019/03/measles-outbreaks-cost-workers-without-paid-sick-leave/585178/,3/19/19 7:00,Context,-92.504898,38.238098
"Washington, DC, United States",United States,Measles,Humans,6375842,Washington measles outbreak: why it’s mostly affecting Russian speakers - Vox.com,https://www.vox.com/2019/3/19/18263688/measles-outbreak-2019-clark-county,3/19/19 6:00,Context,-77.036697,38.895
"New York State, United States",United States,Measles,Humans,6375782,"Orthodox Jews In New York Hit With The Worst Measles Outbreak In Decades, And Here’s Why - Tech Times",https://www.techtimes.com/articles/239551/20190314/orthodox-jews-in-new-york-hit-with-the-worst-measles-outbreak-in-decades-and-here-s-why.htm,3/14/19 11:10,Context,-75.4981,43.004601
"Washington State, United States",United States,Measles,Humans,6375401,"State House passes bill to eliminate philosophical or personal objection to vaccines - By Madeline Coats, WNPA Olympia News Bureau - Edmonds Beacon",https://edmondsbeacon.villagesoup.com/p/state-house-passes-bill-to-eliminate-philosophical-or-personal-objection-to-vaccines/1805011,3/13/19 13:54,Context,-120.4981,47.487499
United States,United States,Measles,Humans,6374665,"Newark Airport travelers may have been exposed to measles, passenger diagnosis shows - NorthJersey.com",https://www.northjersey.com/story/news/health/2019/03/18/newark-airport-measles-exposure-reported/3206241002/,3/18/19 18:35,Context,-97.556099,39.96693
"New York State, United States",United States,Measles,Humans,6372349,"Measles Outbreak Clock Reset; White Plains Rape Sentence - Tarrytown, NY Patch",https://patch.com/new-york/tarrytown/measles-outbreak-clock-reset-white-plains-rape-sentence,3/15/19 21:06,Context,-75.4981,43.004601
United States,United States,Measles,Humans,6372193,Growing Vaccination Controversy as Measles Cases Rise | News - TigerTV,https://www.tigertv.tv/news/growing-vaccination-controversy-as-measles-cases-rise/article_90ea13d8-482e-11e9-b7e2-3f1706cd87af.html,3/16/19 17:00,Context,-97.556099,39.96693
"Marion, Oregon, United States",United States,Measles,Humans,6372089,"Measles case confirmed in Marion County, not connected to SW Wash. outbreak - KATU",http://katu.com/news/local/measles-case-confirmed-in-marion-county-not-connected-to-sw-wash-outbreak,3/12/19 20:39,Breaking,-122.584732,44.903191
"Illinois, United States",United States,Measles,Humans,6371284,"With Illinois in the top six states for measles outbreaks, debate over the need for vaccinations heats ups — parent choice or public safety? - Chicago Tribune",https://www.chicagotribune.com/suburbs/naperville-sun/news/ct-nvs-vaccine-push-st-0317-story.html,3/16/19 10:20,Context,-89.252998,40.0107
"Texas, United States",United States,Measles,Humans,6371228,Texas Department Of State Health Services Confirms 11th Case Of Measles - San Marcos Corridor News,https://smcorridornews.com/texas-department-of-state-health-services-confirms-11th-case-of-measles/,3/16/19 7:40,Breaking,-99.2286,31.2409
United States,United States,Measles,Humans,6370872,Open Borders Are Dangerous To Our (Public) Health - FrontPage Magazine,https://www.frontpagemag.com/fpm/273102/open-borders-are-dangerous-our-public-health-michael-cutler,3/12/19 22:10,Context,-97.556099,39.96693
